questao_numero,retrieval_recall,has_doc_ref,abstained,z_winner,i_star,eta,z_agent_qwen35_9b,z_agent_granite41_8b,z_agent_gemma4_e4b,confidence_raw_qwen35_9b,confidence_raw_granite41_8b,confidence_raw_gemma4_e4b,confidence_calib_qwen35_9b,confidence_calib_granite41_8b,confidence_calib_gemma4_e4b,fold_k
127,1.0,True,False,1,gemma4_e4b,0.8395633248117184,1,1,1,0.95,0.95,1.0,0.23741007194244604,0.20425531914893616,0.43902439024390244,5
128,0.16666666666666666,True,True,0,qwen35_9b,0.9350871459694989,0,0,0,0.95,0.85,0.95,0.21851851851851853,0.10526315789473684,0.16666666666666666,1
129,0.15384615384615385,True,False,0,granite41_8b,0.9218079399141631,0,0,0,0.95,0.95,0.95,0.22676579925650558,0.22746781115879827,0.1864406779661017,7
130,0.5,True,False,1,qwen35_9b,0.8350095785440612,1,0,1,1.0,0.0,1.0,0.5416666666666666,0.0,0.4251012145748988,2
131,1.0,True,False,1,qwen35_9b,0.929439780783785,1,0,0,0.95,0.92,0.8,0.22743682310469315,0.09090909090909091,0.05555555555555555,4
132,0.5,True,False,1,gemma4_e4b,0.8566964955256711,1,1,1,0.95,0.98,1.0,0.22743682310469315,0.3458646616541353,0.4066390041493776,4
133,0.3333333333333333,True,True,0,gemma4_e4b,0.9729304375196727,0,0,0,0.2,0.85,0.5,0.0,0.06593406593406594,0.07407407407407407,6
134,0.75,True,False,1,gemma4_e4b,0.8350017101812792,0,1,1,0.0,0.95,1.0,0.0,0.20353982300884957,0.44081632653061226,3
135,0.6666666666666666,True,False,1,gemma4_e4b,0.8440629815100154,0,0,1,0.95,0.95,1.0,0.22676579925650558,0.22746781115879827,0.4322033898305085,7
136,0.25,True,False,0,qwen35_9b,0.9264736405147365,0,0,0,0.95,0.95,0.95,0.24621212121212122,0.2076271186440678,0.1896551724137931,9
137,0.0,True,False,0,gemma4_e4b,0.9298535663675012,0,0,0,0.85,0.92,0.95,0.06,0.09210526315789473,0.1896551724137931,9
138,1.0,True,False,0,qwen35_9b,0.9266920741027574,0,0,0,0.95,0.95,0.9,0.23741007194244604,0.20425531914893616,0.15178571428571427,6
139,0.6666666666666666,True,False,0,qwen35_9b,0.8289181532807595,0,1,0,1.0,0.99,1.0,0.5540540540540541,0.5,0.43902439024390244,6
140,1.0,True,False,0,gemma4_e4b,0.8395633248117184,0,1,0,0.95,0.92,1.0,0.23741007194244604,0.06593406593406594,0.43902439024390244,5
141,0.5,True,True,0,gemma4_e4b,0.9674833635813672,0,0,0,0.85,0.92,0.8,0.061224489795918366,0.08974358974358974,0.08771929824561403,2
142,0.3333333333333333,True,False,0,gemma4_e4b,0.8507925897631781,0,0,0,0.95,0.95,1.0,0.23880597014925373,0.2079646017699115,0.42016806722689076,8
143,0.6666666666666666,True,False,0,gemma4_e4b,0.8440629815100154,0,0,0,0.95,0.95,1.0,0.22676579925650558,0.22746781115879827,0.4322033898305085,7
